session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab9d4ef39c891b797d361c,5f2ec675dc868c27396af845,AWAITING REVIEW,2022-06-16 21:14:54.094000,2022-06-16 21:19:34.446000,280.352,27,215,0,100,,7781F798,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
62ab9d52032a0045b8f4b89b,603e297ff27612c343ab3bb1,AWAITING REVIEW,2022-06-16 21:14:58.328000,2022-06-16 21:18:59.054000,240.726,19,111,0,100,,7781F798,Portugal,Portugal,Other,Portuguese,Portugal,Female,Yes
62ab9d637ed04119838a8931,55fb380977f33b0012cb1fc2,AWAITING REVIEW,2022-06-16 21:15:20.860000,2022-06-16 21:20:29.993000,309.133,37,376,2,100,,7781F798,Lithuania,Spain,Full-Time,Lithuanian,Lithuania,Female,No
62ab9d65c9df404b6d8b5a87,5f725b345c6f1e18af1dd1b8,AWAITING REVIEW,2022-06-16 21:15:17.221000,2022-06-16 21:20:57.843000,340.622,37,117,1,100,,7781F798,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Female,No
62ab9d6fc6bb1d029ad4241c,5f4f9d1609e969066d9d766d,RETURNED,2022-06-16 21:15:27.164000,,58893.806968,23,171,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab9d70952916f5f51d09ef,60589034939d4e0272077eda,AWAITING REVIEW,2022-06-16 21:15:28.136000,2022-06-16 21:20:05.594000,277.458,19,98,0,100,,7781F798,Poland,Poland,Other,Polish,Poland,Male,Yes
62ab9d772ddb357beb6def50,5fbbe607338eed00097cdaab,AWAITING REVIEW,2022-06-16 21:16:09.116000,2022-06-16 21:23:22.454000,433.338,22,64,0,100,,7781F798,Poland,Poland,Part-Time,Polish,Poland,Male,Yes
62ab9d785f6c3a78b2427ba9,6031b3c2a11bc814414d458d,RETURNED,2022-06-16 21:15:36.081000,,58885.030375,22,175,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab9d79ae2f682bc440a89e,5ec554706960444f4a1768de,AWAITING REVIEW,2022-06-16 21:15:37.946000,2022-06-16 21:23:47.683000,489.737,24,174,0,100,,7781F798,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
62ab9d87a15c34aa9e867676,601809dedf0288aec1c94413,AWAITING REVIEW,2022-06-16 21:15:51.879000,2022-06-16 21:21:08.689000,316.81,22,105,2,99,,nocode,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
