session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Record Video,Sex,Student Status,Webcam
62a9d823491530d998840581,5ec81ba6c71d2b0f9add5de5,RETURNED,2022-06-15 13:01:23.669000,,66287.235094,21,138,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d829379fa5c2bb8ca5f3,60d85bfa9227dcaa553083c7,RETURNED,2022-06-15 13:01:29.498000,,66281.419391,20,59,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d835446220cb061c1d64,60c6315f59f271322758e94a,REJECTED,2022-06-15 13:01:41.867000,2022-06-15 13:07:12.441000,330.574,22,41,2,97,2022-06-15 13:37:30.380000,NOCODE,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Yes,Female,DATA EXPIRED,Yes
62a9d835554d73e03eebff23,613b7b74f40bbe72dee491b5,AWAITING REVIEW,2022-06-15 13:01:44.844000,2022-06-15 13:08:52.195000,427.351,23,57,1,100,,39F54BF2,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Yes,Female,Yes,Yes
62a9d843915a5663c246dc08,6108033c1bf591fee2013a07,RETURNED,2022-06-15 13:01:55.780000,,66255.188533,27,103,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d8508c9e2fe31cafe377,61164af5d35616bf4e9f3255,RETURNED,2022-06-15 13:12:08.341000,,65642.644957,48,56,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d85b1aefba48fc9e042f,615e91bde2fa93822a4b6179,AWAITING REVIEW,2022-06-15 13:02:19.940000,2022-06-15 13:12:12.207000,592.267,23,16,1,97,,39F54BF2,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Yes,Male,No,Yes
62a9d863d19c6a9e4b7ff991,60f95234964c8e7bc43243c3,RETURNED,2022-06-15 13:02:27.015000,,66224.00318,21,60,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d86ae2f65c25f66f36ec,5f11e0eb0e49cf0d036cdeb5,TIMED-OUT,2022-06-15 13:02:34.471000,,66216.56108,21,151,1,100,,,Italy,Italy,DATA EXPIRED,Italian,Italy,Yes,Male,DATA EXPIRED,Yes
62a9d86d6df2e7ed71c7a1d3,6107f99b4033d300a0879ed9,RETURNED,2022-06-15 13:08:58.912000,,65832.132906,20,132,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d871491530d998840583,5d78d8ee90a13d001602b49c,RETURNED,2022-06-15 13:12:41.094000,,65609.965417,26,236,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9d877ba46946a27581fea,611ce3570a53282a7597ee62,RETURNED,2022-06-15 13:03:14.635000,,66176.438488,25,69,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
