session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab1e91328c05d8e179aa91,61006e8a4fe954de47730409,AWAITING REVIEW,2022-06-16 12:14:09.752000,2022-06-16 12:34:20.657000,1210.905,23,94,0,100,,78AD9052,Greece,Greece,"Not in paid work (e.g. homemaker', 'retired or disabled)",Greek,Greece,Female,Yes
62ab1e97be07bceac1243383,610287af335961f22b04ab82,AWAITING REVIEW,2022-06-16 12:14:15.459000,2022-06-16 12:23:39.069000,563.61,24,41,2,98,,78AD9052,Malawi,South Africa,Other,DATA EXPIRED,Malawi,Female,Yes
62ab1e9bc4c3041e7a8f1390,61751ada89a2195bb28b15ab,REJECTED,2022-06-16 12:14:40.580000,2022-06-16 12:37:43.454000,1382.874,25,6,1,96,2022-06-16 12:39:40.782000,https://www.google.com/url?q=https://app.prolific.co/submissions/complete?cc%3D39F54BF2&sa=D&source=editors&ust=1655386631579269&usg=AOvVaw0aGw6EsRhgKhbgD4GoU80r,South Africa,South Africa,Full-Time,Afrikaans,South Africa,Female,Yes
62ab1e9e2745017796bd3b46,60f1c68167abfb955f8a764f,AWAITING REVIEW,2022-06-16 12:14:36.894000,2022-06-16 12:26:34.621000,717.727,19,21,0,100,,78AD9052,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab1eabab0f10cb84319f59,5e90ac47f9c9d13bd8831182,AWAITING REVIEW,2022-06-16 12:14:35.877000,2022-06-16 12:20:09.733000,333.856,21,115,1,100,,78AD9052,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
62ab1eace7890fbab8c55c9f,608975d87f37383a397e76ce,AWAITING REVIEW,2022-06-16 12:14:36.665000,2022-06-16 12:17:33.984000,177.319,32,85,1,100,,NOCODE,United States,Portugal,Full-Time,Portuguese,Brazil,Male,Yes
62ab1eb38edc5112b40a323a,5e8b811dcdbb58057efa41cd,RETURNED,2022-06-16 12:14:43.337000,,25016.859536,31,238,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab1eb9d059d7bcda722df1,5e75250226bc7f09313f257a,RETURNED,2022-06-16 12:15:01.907000,,24998.45521,23,43,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab1ebf872d6fe372b54ee0,614f43e9d36cd32f08791690,AWAITING REVIEW,2022-06-16 12:15:05.156000,2022-06-16 12:24:17.117000,551.961,51,87,0,100,,39F54BF2,Latvia,Latvia,DATA EXPIRED,Russian,Latvia,Male,DATA EXPIRED
62ab1eca7a30df742198d5b1,61184395bd2b2c2ff52cb611,AWAITING REVIEW,2022-06-16 12:16:23.191000,2022-06-16 12:29:23.265000,780.074,70,125,2,99,,78AD9052,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,Portugal,Female,No
62ab1ecb33b89b6705427409,60195402b054bd01782473ee,AWAITING REVIEW,2022-06-16 12:15:07.579000,2022-06-16 12:22:09.807000,422.228,29,156,1,100,,78AD9052,Poland,Poland,Full-Time,Polish,Poland,Female,No
62ab1ecb48953f6e5d9118e5,6136a1e1159dc808ad660d89,AWAITING REVIEW,2022-06-16 12:15:07.442000,2022-06-16 12:30:27.016000,919.574,22,103,0,100,,78AD9052,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab1ecf1696cbe00016fd10,5f9eea7b0517c64cdfdd4f8a,RETURNED,2022-06-16 12:15:13.349000,,24987.753609,28,162,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab1ed0b41b6f1305cdeda4,5f90a5020bd90518fa71cc47,AWAITING REVIEW,2022-06-16 12:15:16.173000,2022-06-16 12:20:17.832000,301.659,23,44,2,98,,78AD9052,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,Yes
62ab1ed17d686d11c3ed2092,5f9c306fcdb29d0852eb995f,AWAITING REVIEW,2022-06-16 12:15:16.070000,2022-06-16 12:20:09.991000,293.921,21,97,1,99,,78AD9052,Portugal,Portugal,Other,Portuguese,Portugal,Female,Yes
62ab1ed2746507f8a75c3e4a,6033759743d65740e101c8df,AWAITING REVIEW,2022-06-16 12:15:14.219000,2022-06-16 12:24:16.124000,541.905,32,63,0,100,,78AD9052,Finland,Finland,Full-Time,Finnish,Finland,Female,Yes
62ab1ed33d74aa357d38d00e,6116781cac43a08b7f0cdfa2,AWAITING REVIEW,2022-06-16 12:15:21.513000,2022-06-16 12:20:26.193000,304.68,22,13,0,100,,NOCODE,Slovenia,Slovenia,Full-Time,Slovenian,Slovenia,Male,Yes
62ab1ed4030a87b543282514,5f5df4a6e585c364e75e1887,AWAITING REVIEW,2022-06-16 12:15:16.854000,2022-06-16 12:20:30.412000,313.558,29,133,1,100,,78AD9052,Poland,Poland,Full-Time,Polish,Poland,Male,DATA EXPIRED
62ab1ed4513773d1c7e0df96,5fd85707af5bd719a5e20419,AWAITING REVIEW,2022-06-16 12:15:16.494000,2022-06-16 12:28:07.926000,771.432,28,153,2,99,,78AD9052,Hungary,Hungary,DATA EXPIRED,Hungarian,Hungary,Male,DATA EXPIRED
62ab1ed5426ddc1cc32d9836,616c3cbc9f45e7120b08bad6,AWAITING REVIEW,2022-06-16 12:15:17.340000,2022-06-16 12:20:58.736000,341.396,32,112,2,99,,78AD9052,Latvia,Latvia,Full-Time,Latvian,Latvia,Male,Yes
62ab1ed565a60443354dd1cf,610bc299e1e304d3445dc5bf,AWAITING REVIEW,2022-06-16 12:15:17.477000,2022-06-16 12:19:32.722000,255.245,20,45,0,100,,39F54BF2,Spain,Spain,DATA EXPIRED,Spanish,Spain,Female,Yes
62ab1ed7357729f63c403341,615381bb306f60893c20fddc,REJECTED,2022-06-16 12:15:19.312000,2022-06-16 12:28:50.436000,811.124,22,53,2,98,2022-06-16 13:58:27.713000,39F54BF2,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab1ed7989fa1fdf2faf91c,602d072524ce4c64a9ac1be3,RETURNED,2022-06-16 12:15:19.157000,,24986.502862,19,125,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab1ed9bbd8d525d797a150,60a662e29e2c029a54878ec3,AWAITING REVIEW,2022-06-16 12:15:26.839000,2022-06-16 12:25:12.905000,586.066,42,33,0,100,,78AD9052,Italy,Italy,Full-Time,Italian,Italy,Female,Yes
62ab1edf8edc5112b40a323c,5f6e0f4aaf64882e0371c983,AWAITING REVIEW,2022-06-16 12:15:29.531000,2022-06-16 12:26:59.495000,689.964,30,26,0,100,,78AD9052,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62ab1ee5e5b8a390e48969eb,615ca3489232488d7a6ef8a3,REJECTED,2022-06-16 12:18:28.105000,2022-06-16 12:38:10.994000,1182.889,28,100,1,100,2022-06-16 13:44:44.520000,39F54BF2,South Africa,South Africa,Part-Time,DATA EXPIRED,South Africa,Male,No
